right_knee_angular_position,right_motor_torque,right_motor_delta
-1.121,-17.0773,0.4488
-1.153,-17.388,0.4168
-1.185,-17.6823,0.3848
-1.217,-17.9599,0.3528
-1.249,-18.2205,0.3208
-1.281,-18.4637,0.2888
-1.313,-18.6892,0.2568
-1.345,-18.8967,0.2248
-1.377,-19.086,0.1928
-1.409,-19.2569,0.1608
-1.441,-19.4091,0.1288
-1.473,-19.5424,0.0968
-1.489,-11.941,0.0808
-1.505,-19.1188,0.0648
-1.521,-19.529,0.0488
-1.529,-15.8055,0.0408
-1.537,-19.4427,0.0328
-1.545,-19.6427,0.0248
-1.549,-17.7862,0.0208
-1.553,-19.6087,0.0168
-1.557,-19.712,0.0128
-1.561,-19.7516,0.0088
-1.563,-18.8202,0.0068
-1.565,-19.7209,0.0048
-1.566,-19.2816,0.0038
-1.567,-19.7641,0.0028
-1.5675,-19.5649,0.0023
-1.568,-19.7902,0.0018
-1.5685,-19.8097,0.0013
-1.5688,-19.6953,0.001
-1.569,-19.8234,0.0008
-1.5693,-19.7127,1.5678
-1.5373,-4.5933,1.5358
-1.5053,-18.525,1.5038
-1.4733,-19.1191,1.4718
-1.4413,-19.197,1.4398
-1.4093,-19.1198,1.4078
-1.3773,-18.9868,1.3758
-1.3453,-18.8218,1.3438
-1.3133,-18.6311,1.3118
-1.2813,-18.4171,1.2798
-1.2493,-18.1808,1.2478
-1.2173,-17.9229,1.2158
-1.1853,-17.644,1.1838
-1.1533,-17.345,1.1518
-1.1213,-17.0266,1.1198
-1.0893,-16.6894,1.0878
-1.0573,-16.3343,1.0558
-1.0253,-15.9619,1.0238
-0.9933,-15.5731,0.9918
-0.9613,-15.1685,0.9598
-0.9293,-14.7488,0.9278
-0.8973,-14.3148,0.8958
-0.8653,-13.867,0.8638
-0.8333,-13.4117,0.8318
-0.8013,-12.9465,0.7998
-0.7693,-12.4645,0.7678
-0.7373,-11.9699,0.7358
-0.7053,-11.4641,0.7038
-0.6733,-10.9481,0.6718
-0.6413,-10.4227,0.6398
-0.6093,-9.8884,0.6078
-0.5773,-9.346,0.5758
-0.5453,-8.8463,0.5438
-0.5133,-8.3354,0.5118
-0.4813,-7.8064,0.4798
-0.4493,-7.2699,0.4478
-0.4173,-6.7303,0.4158
-0.3853,-6.1903,0.3838
-0.3533,-5.6514,0.3518
-0.3213,-5.115,0.3198
-0.2893,-4.5821,0.2878
-0.2573,-4.0534,0.2558
-0.2253,-3.5294,0.2238
-0.1933,-3.0102,0.1918
-0.1613,-2.4958,0.1598
-0.1293,-1.9852,0.1278
-0.0973,-1.4774,0.0958
-0.0813,-9.0032,0.0798
-0.0653,-1.5427,0.0638
-0.0493,-1.0574,0.0478
-0.0413,-4.7767,0.0398
-0.0333,-1.0313,0.0318
-0.0253,-0.7934,0.0238
-0.0213,-2.6758,0.0198
-0.0173,-0.8124,0.0158
-0.0133,-0.7219,0.0118
-0.0113,-1.702,0.0098
-0.0093,-0.8244,0.0078
-0.0073,-0.8335,0.0058
-0.0063,-1.3924,0.0048
-0.0053,-0.9709,0.0038
-0.0043,-0.9962,0.0028
-0.0038,-1.2587,0.0023
-0.0033,-1.0462,0.0018
-0.0028,-1.0214,0.0013
-0.0025,-1.1127,0.001
-0.0023,-0.9352,0.0008
-0.002,-0.9173,1.5668
-0.034,-17.0062,1.5348
-0.066,-2.7981,1.5028
