right_knee_angular_position,right_motor_torque,right_motor_delta
-0.0,-0.7925,1.5708
-0.032,-17.0036,1.5388
-0.064,-2.8476,1.5068
-0.096,-2.8188,1.4748
-0.128,-3.1339,1.4428
-0.16,-3.571,1.4108
-0.192,-4.0654,1.3788
-0.224,-4.5822,1.3468
-0.256,-5.1073,1.3148
-0.288,-5.6341,1.2828
-0.32,-6.1603,1.2508
-0.352,-6.6881,1.2188
-0.384,-7.2069,1.1868
-0.416,-7.7191,1.1548
-0.448,-8.2245,1.1228
-0.48,-8.7229,1.0908
-0.512,-9.214,1.0588
-0.544,-9.6972,1.0268
-0.576,-10.1721,0.9948
-0.608,-10.6383,0.9628
-0.64,-11.0951,0.9308
-0.672,-11.5417,0.8988
-0.704,-11.9772,0.8668
-0.736,-12.4003,0.8348
-0.768,-12.8128,0.8028
-0.8,-13.2134,0.7708
-0.832,-15.3911,0.7388
-0.864,-14.158,0.7068
-0.896,-14.6327,0.6748
-0.928,-15.0557,0.6428
-0.96,-15.4533,0.6108
-0.992,-15.8327,0.5788
-1.024,-16.1969,0.5468
-1.056,-16.5458,0.5148
-1.088,-16.8789,0.4828
-1.12,-17.1965,0.4508
-1.152,-17.4983,0.4188
-1.184,-17.784,0.3868
-1.216,-18.0533,0.3548
-1.248,-18.3058,0.3228
-1.28,-18.5412,0.2908
-1.312,-18.7591,0.2588
-1.344,-18.9593,0.2268
-1.376,-19.1415,0.1948
-1.408,-19.3053,0.1628
-1.44,-19.4507,0.1308
-1.472,-19.5773,0.0988
-1.488,-11.9902,0.0828
-1.504,-19.1326,0.0668
-1.52,-19.5478,0.0508
-1.536,-19.6827,0.0348
-1.544,-15.8973,0.0268
-1.552,-19.5051,0.0188
-1.556,-17.7711,0.0148
-1.56,-19.622,0.0108
-1.562,-18.7768,0.0088
-1.564,-19.7005,0.0068
-1.566,-19.7614,0.0048
-1.567,-19.2949,0.0038
-1.568,-19.7722,0.0028
-1.5685,-19.5727,0.0023
-1.569,-19.7984,0.0018
-1.5695,-19.818,0.0013
-1.5698,-19.7053,0.001
-1.57,-19.8355,0.0008
-1.5703,-19.7311,1.5698
-1.5383,-4.6044,1.5378
-1.5063,-18.5897,1.5058
-1.4743,-19.1557,1.4738
-1.4423,-19.2403,1.4418
-1.4103,-19.1727,1.4098
-1.3783,-19.0475,1.3778
-1.3463,-18.8899,1.3458
-1.3143,-18.7065,1.3138
-1.2823,-18.4995,1.2818
-1.2503,-18.27,1.2498
-1.2183,-18.0186,1.2178
-1.1863,-17.7461,1.1858
-1.1543,-17.4533,1.1538
-1.1223,-17.1408,1.1218
-1.0903,-16.8094,1.0898
-1.0583,-16.4598,1.0578
-1.0263,-16.0928,1.0258
-0.9943,-15.7092,0.9938
-0.9623,-15.3097,0.9618
-0.9303,-14.8949,0.9298
-0.8983,-14.4656,0.8978
-0.8663,-14.029,0.8658
-0.8343,-13.5795,0.8338
-0.8023,-13.1134,0.8018
-0.7703,-12.6339,0.7698
-0.7383,-12.1426,0.7378
-0.7063,-11.6404,0.7058
-0.6743,-11.128,0.6738
-0.6423,-10.606,0.6418
-0.6103,-10.1133,0.6098
-0.5783,-9.6217,0.5778
-0.5463,-9.1089,0.5458
-0.5143,-8.5865,0.5138
-0.4823,-8.0592,0.4818
-0.4503,-7.5296,0.4498
-0.4183,-6.9992,0.4178
-0.3863,-6.4694,0.3858
-0.3543,-5.9411,0.3538
-0.3223,-5.415,0.3218
-0.2903,-4.8918,0.2898
-0.2583,-4.3716,0.2578
-0.2263,-3.8542,0.2258
-0.1943,-3.3392,0.1938
-0.1623,-2.8255,0.1618
-0.1303,-2.3118,0.1298
-0.0983,-1.7616,0.0978
-0.0823,-9.3083,0.0818
-0.0663,-1.8622,0.0658
-0.0503,-1.3424,0.0498
-0.0423,-5.0464,0.0418
-0.0343,-1.2695,0.0338
-0.0263,-1.0135,0.0258
-0.0183,-0.8614,0.0178
-0.0143,-2.7912,0.0138
-0.0103,-0.9402,0.0098
-0.0083,-1.8823,0.0078
-0.0063,-0.9839,0.0058
-0.0053,-1.4965,0.0048
-0.0043,-1.0434,0.0038
-0.0033,-1.0421,0.0028
-0.0028,-1.2816,0.0023
-0.0023,-1.0501,0.0018
-0.0018,-1.0108,0.0013
-0.0015,-1.0922,0.001
-0.0013,-0.9102,0.0008
-0.001,-0.8817,1.5688
-0.033,-16.9866,1.5368
-0.065,-2.7775,1.5048
-0.097,-2.7473,1.4728
-0.129,-3.0221,1.4408
-0.161,-3.4403,1.4088
-0.193,-3.9159,1.3768
-0.225,-4.4138,1.3448
-0.257,-4.9253,1.3128
-0.289,-5.4421,1.2808
-0.321,-5.9539,1.2488
-0.353,-6.4615,1.2168
-0.385,-6.9647,1.1848
-0.417,-7.463,1.1528
-0.449,-7.9556,1.1208
-0.481,-8.4421,1.0888
-0.513,-8.922,1.0568
-0.545,-9.3946,1.0248
-0.577,-9.8584,0.9928
-0.609,-10.313,0.9608
-0.641,-10.7581,0.9288
-0.673,-11.1944,0.8968
-0.705,-11.6202,0.8648
-0.737,-14.011,0.8328
-0.769,-12.7467,0.8008
-0.801,-13.1066,0.7688
-0.833,-13.5934,0.7368
-0.865,-14.0443,0.7048
-0.897,-14.4762,0.6728
-0.929,-14.8918,0.6408
-0.961,-15.2934,0.6088
-0.993,-15.6799,0.5768
-1.025,-16.0517,0.5448
-1.057,-16.4088,0.5128
-1.089,-16.7508,0.4808
