right_knee_angular_position,right_motor_torque,right_motor_delta
-1.5688,-11.8199,0.001
-1.569,-11.9049,0.0008
-1.5693,-11.8494,1.5678
-1.5373,-2.6388,1.5358
-1.5053,-11.506,1.5038
-1.4733,-11.7812,1.4718
-1.4413,-11.8253,1.4398
-1.4093,-11.8107,1.4078
-1.3773,-11.7742,1.3758
-1.3453,-11.7237,1.3438
-1.3133,-11.661,1.3118
-1.2813,-11.5863,1.2798
-1.2493,-11.4996,1.2478
-1.2173,-11.4007,1.2158
-1.1853,-11.2891,1.1838
-1.1533,-11.1656,1.1518
-1.1213,-11.0299,1.1198
-1.0893,-10.881,1.0878
-1.0573,-10.7202,1.0558
-1.0253,-10.5477,1.0238
-0.9933,-10.3649,0.9918
-0.9613,-10.1719,0.9598
-0.9293,-9.969,0.9278
-0.8973,-9.7544,0.8958
-0.8653,-9.5294,0.8638
-0.8333,-9.2945,0.8318
-0.8013,-9.0501,0.7998
-0.7693,-8.7968,0.7678
-0.7373,-8.5348,0.7358
-0.7053,-8.2645,0.7038
-0.6733,-7.9864,0.6718
-0.6413,-7.7007,0.6398
-0.6093,-7.408,0.6078
-0.5773,-7.1086,0.5758
-0.5453,-6.804,0.5438
-0.5133,-6.4935,0.5118
-0.4813,-6.1762,0.4798
-0.4493,-5.8528,0.4478
-0.4173,-5.5264,0.4158
-0.3853,-5.1953,0.3838
-0.3533,-4.8577,0.3518
-0.3213,-4.5161,0.3198
-0.2893,-4.1706,0.2878
-0.2573,-3.8211,0.2558
-0.2253,-3.4677,0.2238
-0.1933,-3.1108,0.1918
-0.1613,-2.7504,0.1598
-0.1293,-2.3869,0.1278
-0.0973,-2.0205,0.0958
-0.0813,-6.7297,0.0798
-0.0653,-1.8635,0.0638
-0.0493,-1.5408,0.0478
-0.0413,-3.8608,0.0398
-0.0333,-1.4046,0.0318
-0.0253,-1.2354,0.0238
-0.0213,-2.3987,0.0198
-0.0173,-1.1609,0.0158
-0.0133,-1.0792,0.0118
-0.0113,-1.6569,0.0098
-0.0093,-1.0439,0.0078
-0.0073,-1.0036,0.0058
-0.0063,-1.303,0.0048
-0.0053,-0.9842,0.0038
-0.0043,-0.965,0.0028
-0.0038,-1.1053,0.0023
-0.0033,-0.9587,0.0018
-0.0028,-0.9484,0.0013
-0.0025,-1.0229,0.001
-0.0023,-0.9375,0.0008
-0.002,-1.0096,1.5668
-0.034,-11.1152,1.5348
-0.066,-2.0947,1.5028
-0.098,-2.1784,1.4708
-0.13,-2.466,1.4388
-0.162,-2.8037,1.4068
-0.194,-3.1565,1.3748
-0.226,-3.5131,1.3428
-0.258,-3.8688,1.3108
-0.29,-4.2215,1.2788
-0.322,-4.5701,1.2468
-0.354,-4.914,1.2148
-0.386,-5.2527,1.1828
-0.418,-5.586,1.1508
-0.45,-5.9135,1.1188
-0.482,-6.2351,1.0868
-0.514,-6.5504,1.0548
-0.546,-6.8593,1.0228
-0.578,-7.1614,0.9908
-0.61,-7.457,0.9588
-0.642,-7.7455,0.9268
-0.674,-8.0263,0.8948
-0.706,-8.2995,0.8628
-0.738,-8.5648,0.8308
-0.77,-8.8219,0.7988
-0.802,-9.071,0.7668
-0.834,-9.3124,0.7348
-0.866,-9.544,0.7028
-0.898,-9.7663,0.6708
-0.93,-9.9792,0.6388
-0.962,-10.1824,0.6068
-0.994,-10.3757,0.5748
-1.026,-10.559,0.5428
-1.058,-10.7319,0.5108
-1.09,-10.89,0.4788
-1.122,-11.0474,0.4468
-1.154,-11.189,0.4148
-1.186,-11.3183,0.3828
-1.218,-11.436,0.3508
-1.25,-11.5424,0.3188
-1.282,-11.6371,0.2868
-1.314,-11.7202,0.2548
-1.346,-11.7914,0.2228
-1.378,-11.8507,0.1908
-1.41,-11.8981,0.1588
-1.442,-11.9334,0.1268
-1.474,-11.9566,0.0948
-1.49,-7.3123,0.0788
-1.506,-11.7421,0.0628
-1.522,-11.8891,0.0468
